APPENDIX	B:	GLOBAL	POSITIONING	SYSTEM	DATA	
st121903	306	4725168517	180485.585	972.204	0.067	
st122003	307	4725168517	180485.583	972.2	0.07	
st122103	308	4725168517	180485.583	972.201	0.072	
st122203	309	4725168516	180485.584	972.201	0.076	
st122303	310	4725168515	180485.584	972.199	0.08	
st122403	311	4725168515	180485.583	972.206	0.083	
st122503	312	4725168515	180485.581	972.201	0.087	
st122603	313	4725168514	180485.582	972.2	0.091	
st122703	314	4725168514	180485.581	972.199	0.094	
st122803	315	4725168514	180485.582	972.2	0.094	
st122903	316	4725168504	180485.588	972.172	0.094	
st123003	317	4725168515	180485.581	972.188	0.094	
st123103	318	4725168513	180485.579	972.137	0.094	
st010104	319	4725168512	180485.58	972.198	0.094	
st010204	320	4725168512	180485.58	972.205	0.093	
st010304	321	4725168512	180485.579	972.205	0.093	
st010404	322	4725168511	180485.579	972.204	0.093	
st010504	323	4725168512	180485.579	972.201	0.093	
						
MIDDLE	STATION					
3D						
						
location	day	northing	easting	elevation	vector	
mid216	1	4725337235	180591.962	1014.164		
mid217	2	4725337236	180591.962	1014.183		
mid218	3	4725337239	180591.956	1014.127		
mid219	4	4725337235	180591.961	1014.175		
mid220	5	4725337235	180591.961	1014.167		
mid221	6	4725337235	180591.961	1014.154		
mid222	7	4725337235	180591.96	1014.152		
mid223	8	4725337234	180591.96	1014.171		
mid224	9	4725337234	180591.959	1014.173		
mid225	10	4725337233	180591.959	1014.177		
mid226	11	4725337233	180591.959	1014.178	0.0036	
mid227	12	4725337233	180591.959	1014.172	0.0038	
mid228	13	4725337233	180591.959	1014.171	0.004	
mid301	14	4725335673	180592.308	1012.112	0.0042	
mid302	15	4725335673	180592.309	1012.112	0.0043	
mid303	16	4725335673	180592.309	1012.108	0.0045	
mid304	17	4725335673	180592.308	1012.117	0.0049	
mid305	18	4725335674	180592.307	1012.114	0.0022	
mid306	19	4725335673	180592.308	1012.121	0.0017	
mid307	20	4725335673	180592.307	1012.115	0.0013	
mid308	21	4725335674	180592.306	1012.114	0.0008	
mid309	22	4725335674	180592.307	1012.108	0.0006	
mid310	23	4725335674	180592.306	1012.112	0.0008	
mid311	24	4725335674	180592.307	1012.11		0.001	
mid312	25	4725335674	180592.307	1012.116	0.0009	
mid313	26	4725335674	180592.307	1012.114	0.0009	
mid314	27	4725335674	180592.306	1012.115	0.0008	
mid315	28	4725335674	180592.306	1012.114	0.0009	
mid316	29	4725337359	180592.178	1011.779	0.001	
mid317	30	4725337357	180592.178	1011.78		0.0012	
mid318	31	4725337356	180592.178	1011.78		0.0015	
mid319	32	4725337356	180592.177	1011.782	0.0017	
mid320	33	4725337357	180592.177	1011.78		0.0018	
mid321	34	4725337357	180592.176	1011.783	0.002
mid322	35	4725337356	180592.178	1011.78		0.0021	
mid323	36	4725337357	180592.178	1011.778	0.0026
mid324	37	4725337357	180592.177	1011.78		0.003	
mid325	38	4725337357	180592.176	1011.784	0.0035
mid326	39	4725337356	180592.178	1011.778	0.0087
mid327	40	4725337356	180592.176	1011.781	0.0089
mid328	41	4725337356	180592.176	1011.775	0.0092
mid329	42	4725337356	180592.177	1011.772	0.0096
mid330	43	4725337356	180592.175	1011.775	0.0098
mid331	44	4725337355	180592.176	1011.776	0.01	
mid401	45	4725337653	180591.24	1015.424	0.0104	
mid402	46	4725337652	180591.24	1015.418	0.0107	
mid403	47	4725337652	180591.241	1015.42		0.0112	
mid404	48	4725337651	180591.24	1015.419	0.0116	
mid405	49	4725337652	180591.241	1015.42		0.0121	
mid406	50	4725337652	180591.24	1015.42		0.0127	
mid407	51	4725337652	180591.24	1015.42		0.0132	
mid408	52	4725337653	180591.239	1015.421	0.0136	
mid409	53	4725337653	180591.24	1015.422	0.0139	
mid410	54	4725337653	180591.24	1015.423	0.0143	
mid411	55	4725337652	180591.239	1015.421	0.0148	
mid412	56	4725337652	180591.24	1015.422	0.0153	
mid413	57	4725337652	180591.239	1015.417	0.0153	
mid414	58	4725337652	180591.24	1015.418	0.0154	
mid415	59	4725337651	180591.24	1015.419	0.0154	
mid422	66	4725338325	180592.424	1012.833	0.0154	
mid423	67	4725338325	180592.423	1012.837	0.0156	
mid424	68	4725338325	180592.422	1012.835	0.0157	
mid425	69	4725338325	180592.424	1012.833	0.0158	
mid426	70	4725338324	180592.423	1012.833	0.0159	
mid427	71	4725338325	180592.423	1012.832	0.0161	
mid428	72	4725338324	180592.424	1012.83		0.0163	
mid429	73	4725338325	180592.423	1012.836	0.0165	
mid430	74	4725338325	180592.423	1012.838	0.0167	
mid501	75	4725335911	180591.843	1016.964	0.0168	
mid502	76	4725335908	180591.843	1016.966	0.0168	
mid503	77	4725335907	180591.843	1016.96		0.0167	
mid504	78	4725335909	180591.843	1016.963	0.0167	
mid505	79	4725335908	180591.843	1016.963	0.0166	
mid506	80	4725335908	180591.842	1016.967	0.0163	
mid507	81	4725335909	180591.842	1016.963	0.016	
mid516	90	4725333565	180590.253	1014.236	0.0157	
mid517	91	4725333567	180590.252	1014.239	0.0155	
mid518	92	4725333566	180590.252	1014.234	0.0153	
mid519	93	4725333567	180590.251	1014.237	0.0153	
mid520	94	4725333568	180590.251	1014.242	0.0151	
mid521	95	4725333567	180590.251	1014.238	0.015	
mid522	96	4725333567	180590.251	1014.24		0.0148	
mid523	97	4725333566	180590.251	1014.241	0.0146	
mid524	98	4725333568	180590.251	1014.247	0.0145	
mid525	99	4725333568	180590.252	1014.242	0.0146	
mid526	100	4725333568	180590.251	1014.246	0.0144	
mid527	101	4725333569	180590.251	1014.239	0.0142	
mid528	102	4725333567	180590.252	1014.244	0.0141	
mid529	103	4725333568	180590.252	1014.241	0.0139	
mid530	104	4725333568	180590.252	1014.248	0.0137	
mid531	105	4725333566	180590.251	1014.248	0.0137	
mid601	106	4725335759	180593.226	1018.298	0.0135	
mid602	107	4725335758	180593.227	1018.298	0.0134	
mid603	108	4725335759	180593.225	1018.299	0.0133	
mid604	109	4725335758	180593.225	1018.296	0.0133	
mid605	110	4725335759	180593.225	1018.302	0.0132	
mid606	111	4725335759	180593.226	1018.298	0.0132	
mid607	112	4725335759	180593.225	1018.298	0.0128	
mid608	113	4725335758	180593.225	1018.295	0.0128	
mid609	114	4725335759	180593.225	1018.3		0.0128	
mid610	115	4725335758	180593.225	1018.296	0.0129	
mid611	116	4725335758	180593.225	1018.301	0.0128	
mid612	117	4725335758	180593.225	1018.3		0.0129	
mid613	118	4725335759	180593.223	1018.302	0.0129	
mid614	119	4725335758	180593.224	1018.301	0.013	
mid615	120	4725335758	180593.224	1018.303	0.0129	
mid616	121	4725337833	180593.206	1018.235	0.013	
mid617	122	4725337832	180593.208	1018.244	0.0131	
mid618	123	4725337832	180593.206	1018.235	0.0131	
mid619	124	4725337831	180593.206	1018.23		0.0131	
mid620	125	4725337831	180593.207	1018.234	0.013	
mid621	126	4725337833	180593.207	1018.234	0.0131	
mid622	127	4725337832	180593.207	1018.23		0.0131	
mid623	128	4725337831	180593.207	1018.232	0.0133	
mid624	129	4725337832	180593.207	1018.227	0.0133	
mid625	130	4725337832	180593.206	1018.233	0.0134	
mid626	131	4725337832	180593.206	1018.229	0.0134	
mid627	132	4725337832	180593.206	1018.233	0.0136	
mid628	133	4725337832	180593.207	1018.232	0.0139	
mid629	134	4725337832	180593.205	1018.231	0.014	
mid630	135	4725337833	180593.206	1018.236	0.0142	
mid701	136	4725336571	180592.193	1020.973	0.0144	
mid702	137	4725336573	180592.193	1020.978	0.0148	
mid703	138	4725336572	180592.19	1020.97		0.0148	
mid704	139	4725336572	180592.193	1020.974	0.0151	
mid705	140	4725336573	180592.192	1020.971	0.0153	
mid706	141	4725336572	180592.193	1020.972	0.0154	
mid707	142	4725336573	180592.192	1020.97		0.0155	
mid708	143	4725336572	180592.192	1020.972	0.0159	
mid709	144	4725336572	180592.192	1020.969	0.0162	
mid710	145	4725336574	180592.19	1020.964	0.0164	
mid711	146	4725336573	180592.191	1020.968	0.0167	
mid712	147	4725336572	180592.19	1020.967	0.017	
mid713	148	4725336571	180592.19	1020.98		0.0172	
mid714	149	4725336573	180592.19	1020.966	0.0173	
mid715	150	4725336572	180592.19	1020.966	0.0175	
mid716	151	4725336224	180592.665	1017.821	0.0176	
mid717	152	4725336221	180592.664	1017.818	0.0178	
mid718	153	4725336221	180592.663	1017.814	0.018	
mid719	154	4725336221	180592.664	1017.817	0.0182	
mid720	155	4725336221	180592.663	1017.818	0.0185	
mid721	156	4725336221	180592.664	1017.819	0.0185	
mid722	157	4725336221	180592.662	1017.817	0.0186	
mid723	158	4725336221	180592.664	1017.823	0.0186	
mid724	159	4725336221	180592.663	1017.818	0.0189	
mid725	160	472533622	180592.665	1017.818	0.019	
mid726	161	4725336223	180592.665	1017.821	0.0189	
mid727	162	4725336221	180592.664	1017.816	0.0191	
mid728	163	4725336221	180592.663	1017.818	0.0193	
mid729	164	472533622	180592.662	1017.821	0.0193	
mid730	165	4725336222	180592.662	1017.812	0.0194	
mid731	166	4725336221	180592.664	1017.816	0.0195	
mid80103	167	4725338007	180592.063	1012.746	0.0196	
mid80203	168	4725338008	180592.063	1012.744	0.0195	
mid80303	169	4725338008	180592.063	1012.748	0.0197	
mid80403	170	4725338007	180592.064	1012.741	0.0197	
mid80503	171	4725338007	180592.064	1012.748	0.0198	
mid80603	172	4725338006	180592.062	1012.747	0.0201	
mid91103	208	4725335554	180592.434	1016.518	0.0202	
mid91203	209	4725335553	180592.434	1016.518	0.0202	
mid91303	210	4725335554	180592.432	1016.523	0.0203	
mid91403	211	4725335554	180592.433	1016.52		0.0201	
mid91503	212	4725335554	180592.433	1016.524	0.0202	
						
BLOCK	STATION					
						
location	day	northing	easting	elevation	3D	vector
blk216	1	4725532	1808255	1073.554		
blk217	2	4725532	1808255	1073.559		
blk218	3	4725532	1808255	1073.553		
blk219	4	4725532	1808255	1073.55		
blk220	5	4725532	1808255	1073.552		
blk223	6	4725532	1808255	1073.555		
blk224	7	4725532	1808255	1073.554		
blk225	8	4725532	1808255	1073.557		
blk226	9	4725532	1808255	1073.552		
blk227	10	4725532	1808255	1073.55		
blk228	11	4725532	1808255	1073.55		0.0052	
