DATE	PRCP	TMAX
20170109	-9999	42
20170110	-9999	43
20170111	-9999	42
20170112	-9999	40
20170113	-9999	28
20170114	-9999	23
20170115	-9999	19
20170116	-9999	13
20170117	-9999	12
20170118	0	22
20170119	0.49	31
20170120	0	34
20170121	0	37
20170122	0	41
20170123	0.1	39
20170124	0.23	30
20170125	0	26
20170126	0	28
20170127	0	30
20170128	0	27
20170129	0	20
20170130	0	22
20170131	0	20
20170201	0	31
20170202	0	29
20170203	0	28
20170204	0	40
20170205	0	43
20170206	0	44
20170207	0.19	47
20170208	0.18	43
20170209	0.56	42
20170210	0	50
20170211	0	46
20170212	0	38
20170213	0	30
20170214	0	36
20170215	0	41
20170216	0	45
20170217	0.79	59
20170218	0	43
20170219	0	49
20170220	0	53
20170221	0	54
20170222	0	52
20170223	0	40
20170224	0	27
20170225	0	32
20170226	0	32
20170227	0.1	33
20170228	0	36
20170301	0	35
20170302	0	42
20170303	0	41
20170304	0	42
20170305	0	49
20170306	0	42
20170307	0	35
20170308	0.06	44
20170309	0	57
20170310	0	61
20170311	0	56
20170312	0	58
20170313	0	58
20170314	0	66
20170315	0	70
20170316	0	66
20170317	0	58
20170318	0	69
20170319	0	70
20170320	0	61
20170321	0	61
20170322	0.11	67
20170323	0	56
20170324	0	53
20170325	0.07	61
20170326	0	53
20170327	0.1	59
20170328	0	51
20170329	0	52
20170330	0.27	63
20170331	0.09	55
20170401	0	56
20170402	0	59
20170403	0	56
20170404	0	47
20170405	0	52
20170406	0	68
20170407	0	68
20170408	0.01	64
20170409	0.14	48
20170410	0	51
20170411	0	55
20170412	0	56
20170413	0	70
20170414	0.01	50
20170415	0	46
20170416	0	54
20170417	0	67
20170418	0.14	60
20170419	0	55
20170420	0	59
20170421	0	54
20170422	0	57
20170423	0	70
20170424	0.02	65
20170425	0	53
20170426	0	58
20170427	0.18	56
20170428	0	47
20170429	0	54
20170430	0	60
20170501	0	63
20170502	0	60
20170503	0	61
20170504	0	70
20170505	0	79
20170506	0	79
20170507	0	57
20170508	0	59
20170509	0	64
20170510	0	71
20170511	0	77
20170512	0	86
20170513	0	66
20170514	0	57
20170515	0	60
20170516	0	62
20170517	0.27	58
20170518	0	47
20170608	0	94
20170609	0	82
20170610	0	68
20170611	0	65
20170612	0.24	69
20170613	0.63	54
20170614	0	65
20170615	0	74
20170616	0	79
20170617	0	81
20170618	0	75
20170619	0	83
20170620	0	90
20170621	0	95
20170622	0	85
20170623	0	81
20170624	0	82
20170625	0	87
20170626	0	88
20170627	0	90
20170628	0	87
20170629	0	83
20170630	0	80
20170701	0	84
20170702	0	89
20170703	0	93
20170704	0	94
20170705	0	94
20170706	0	95
20170707	0	95
20170708	0	96
20170709	0.16	96
20170710	0	96
20170711	0	93
20170712	0	89
20170713	0	91
20170714	0	97
20170715	0	92
20170716	0	96
20170717	0	89
20170718	0	90
20170719	0	91
20170720	0	91
20170721	0	89
20170722	0	90
20170723	0	93
20170724	0	94
20170725	0	94
20170726	0	90
20170727	0	87
20170728	0	87
20170729	0	87
20170730	0	94
20170731	0	95
20170801	0	96
20170802	0	97
20170803	0	96
20170804	0	96
20170805	0	94
20170806	0	90
20170807	0	84
20170808	0	87
20170809	0	89
20170810	0	83
20170811	0	87
20170812	0	90
20170813	0	92
20170814	0	86
20170815	0	72
20170816	0	82
20170817	0	87
20170818	0	85
20170819	0	90
20170820	0	88
20170821	0	86
20170822	0	86
20170823	0	90
20170824	0	84
20170825	0	89
20170826	0	87
20170827	0	90
20170828	0	92
20170829	0	93
20170830	0	93
20170831	0	88
20170901	0	86
20170902	0	87
20170903	0	92
20170904	0	95
20170905	0	92
20170906	0	84
20170907	0	87
20170908	0	87
20170909	0	89
20170910	0	86
20170911	0	86
20170912	0	85
20170913	0	88
20170914	0	82
20170915	0.19	73
20170916	0	64
20170917	0	61
20170918	0	71
20170919	0.21	69
20170920	0.03	57
20170921	0.34	67
20170922	0	47
20171001	0	59
20171002	0	55
20171003	0	54
20171004	0	57
20171005	0	52
20171006	0	59
20171007	0	69
20171008	0	68
20171009	0	52
20171010	0	55
20171011	0	66
20171012	0	56
20171013	0	51
20171014	0	54
20171015	0	48
20171016	0	58
20171017	0	65
20171018	0	68
20171019	0	71
20171020	0	74
20171021	0.18	48
20171022	0	53
20171023	0.01	65
20171024	0	58
20171025	0	60
20171026	0	66
20171027	0	60
20171028	0	59
20171029	0	63
20171030	0	66
20171031	0	50
20171101	0	56
20171102	0	66
20171103	0	56
20171104	0	57
20171105	0.2	34
20171106	0.13	48
20171107	0	40
20171108	0	39
20171109	0	42
20171110	0	56
20171111	0	59
20171112	0	52
20171113	0	54
20171114	0	51
20171115	0	48
20171116	0.21	43
20171117	0.53	49
20171118	0	40
20171119	0	42
20171120	0	44
20171121	0.1	47
20171122	0	59
20171123	0.06	64
20171124	0	64
20171125	-9999	51
20171126	-9999	51
20171127	-9999	57
20171128	0	44
20171129	0	43
20171130	0	40
20171201	0	39
20171202	0	41
20171203	0.01	44
20171204	0	37
20171205	0	35
20171206	0	35
20171207	0	29
20171208	0	32
20171209	0	28
20171210	0	24
20171211	0	21
20171212	0	23
20171213	0	21
20171214	0	22
20171215	0	26
20171216	0.01	28
20171217	0	33
20171218	0	36
20171219	0	46
20171220	0.07	46
20171221	0	31
20171222	0	31
20171223	0.16	37
20171224	0	33
20171225	0.26	20
20171226	0	30
20171227	0	30
20171228	0	32
20171229	0	41
20171230	0	44
20171231	0	45
20180101	0	33
20180102	0	32
20180103	0	31
20180109	-9999	42
20180110	-9999	42
20180111	-9999	39
20180112	-9999	48
20180113	-9999	48
20180114	-9999	50
20180115	-9999	43
20180116	-9999	44
20180117	-9999	40
20180118	-9999	43
20180119	0.06	51
20180120	0	38
20180121	0	36
20180122	0.02	40
20180123	0	43
20180124	0	36
20180125	0	43
20180126	0	41
20180127	0	41
20180128	0	41
20180129	0	56
20180130	0	46
20180131	0	61
20180201	0	42
20180202	0	47
20180203	0	58
20180204	0	56
20180205	0	60
20180206	0	52
20180207	0	47
20180208	0	56
20180209	0	62
20180210	0	50
20180211	0	39
20180212	0.1	30
20180213	0.01	30
20180214	0	36
20180215	0	46
20180216	0	38
20180217	-9999	39
20180218	0.08	54
20180219	0	41
20180220	0	29
20180221	0	25
20180222	0	37
20180223	0	28
20180224	0	28
20180225	0.04	37
20180226	0	37
20180227	0	35
20180228	0	34
20180301	0	39
20180302	0.25	48
20180303	0	38
20180304	0	37
20180305	0	40
20180306	0	44
20180307	0	47
20180308	0	49
20180309	0	55
20180310	0	55
20180311	0	54
20180312	0	52
20180313	0	59
20180314	-9999	68
20180315	-9999	47
20180316	0.05	43
20180317	0.22	49
20180318	0	45
20180319	0	45
20180320	0	48
20180321	0	50
20180322	-9999	57
20180323	0.16	60
20180324	0	58
20180325	0.11	47
20180326	0	46
20180327	0	44
20180328	0	55
20180329	0	55
20180330	0	56
20180331	0	65
20180401	0	60
20180402	0	60
20180403	0.06	40
20180404	0	51
20180405	0	60
20180406	0.12	58
20180407	0	56
20180408	0.19	68
20180409	0	54
20180410	0	59
20180411	0	69
20180412	0	62
20180413	0	45
20180414	0	52
20180415	0	58
20180416	0.01	71
20180417	0.15	45
20180418	0	47
20180419	0	61
20180420	0	58
20180421	0	62
20180422	0	69
20180423	0	64
20180424	0	61
20180425	0	64
20180426	0	74
20180427	0	76
20180428	0	88
20180429	0	69
20180430	0	55
20180501	0	61
20180502	0	58
20180503	0	65
20180504	0	71
20180505	0	78
20180506	0	79
20180507	0	88
20180508	0	76
20180509	0	81
20180510	0.01	79
20180511	0	71
20180512	0	56
20180513	0.57	46
20180514	0	61
20180515	0	72
20180516	0.03	70
20180517	0.01	74
20180518	0.02	72
20180519	0	70
20180520	0	75
20180521	0.42	69
20180522	0	72
20180523	0	73
20180524	-9999	77
20180525	-9999	80
20180526	0	88
20180527	0.12	69
20180528	0	73
20180529	0	75
20180530	0	82
20180531	0	76
20180605	-9999	91
20180606	-9999	83
20180607	-9999	84
20180707	0	91
20180708	0	90
20180709	0	93
20180710	0	95
